Store,SST1,SST2,SST_min,SST_max,mass1,mass2,mass_total,mass_derated
WFCBL,-19,-23,-41,-21,33.3,14.45,47.75,33.3
WFFRE,-25,-19,-42,-22,16.56,34.78,51.34,34.78
WFHAR,-23,,-43,-23,81.38,,81.38,81.38
WFLAF,-26,,-46,-26,50.64,,50.64,50.64
WFNOV,-23,,-43,-23,70.76,,70.76,70.76
WFPAL,-23,,-43,-23,53.04,,53.04,53.04
WFROS,-23,,-43,-23,94.62,,94.62,94.62
WFSMT,-20,,-40,-20,62.8,,62.8,62.8
WFSRF,-22,,-42,-22,47.16,,47.16,47.16
WFSRS,-23,-23,-43,-23,39.37,9.03,48.4,39.37
WFSTZ,-22,-12,-37,-17,31.23,24.82,56.05,31.23
WFWAL,-25,,-45,-25,43.28,,43.28,43.28
WFSTC,-23,,-43,-23,105.7,,105.7,63.42
WFNPA,-23,,-43,-23,104.41,,104.41,62.646
