Store,SST1,SST2,SST_min,SST_max,mass1,mass2,mass_total,mass_derated
WM3138,-23,,-43,-23,132.5,,132.5,132.5
WM3139,-23,,-43,-23,121.21,,121.21,121.21
WM3141,-23,,-43,-23,133.17,,133.17,133.17
WM3708,-24,,-44,-24,205.23,,205.23,205.23
WM5658,-22,,-42,-22,114.83,,114.83,114.83
WM5859,-23,-14,-38.5,-18.5,89.78,115.19,204.97,89.78
WM1588,,,,,,,,
WM1915,,,,,,,,
WM3140,-23,,-43,-23,132.49,,132.49,132.49
WM3352,,,,,,,,
WM3796,-14,-22,-38,-18,167.02,43.82,210.84,126.504
WM4132,-23,-14,-38.5,-18.5,89.11,112.98,202.09,89.11
WM4171,,,,,,,,
WM4340,,,,,,,,
WM5215,,,,,,,,
WM5337,-22,-14,-38,-18,47.74,214.52,262.26,157.34
WM5603,-22,,-42,-22,65.85,,65.85,65.85
WM5606,-22,,-42,-22,129.64,,129.64,129.64
WM5635,-22,,-42,-22,155.72,,155.72,155.72
WM5956,,,,,,,,
WM3022,-22,,-42,-22,270.2,,270.2,270.2
WM5634,-22,,-42,-22,123.77,,123.77,123.77
