Date,Demand Mid-Peak,Demand Non-Coincident,Demand On-Peak,Energy Use,Perfect - Energy Use,Opt - Energy Use,Perfect - Demand On-Peak,Opt - Demand On-Peak,Perfect - Demand Mid-Peak,Opt - Demand Mid-Peak,Perfect - Demand Non-Coincident,Opt - Demand Non-Coincident
2018-05-01,1.17,1.17,0.191,-23.738,-295.54,12.45,117.33,614.42,199.84,170.79,671.73,574.08
2018-05-07,1.17,1.17,0.191,-18.173,-346.2,19.05,117.33,614.42,199.84,170.79,671.73,574.08
2018-05-15,0.55,1.193,1.193,-14.775,-279.24,18.9,647.84,542.99,93.97,170.75,603.36,505.71
2018-05-22,0.792,1.193,1.193,-10.35,-278.62,26.92,647.84,542.99,127.44,161.0,603.36,505.71
2018-06-01,0.908,1.172,0.941,-6.172,-242.5,39.29,574.15,609.98,144.2,158.87,664.27,566.62
2018-06-07,0.492,1.182,1.182,-32.869,-251.78,7.66,680.53,575.68,88.15,179.27,633.8,536.15
2018-06-15,0.492,1.182,1.182,-34.251,-288.74,8.43,680.53,575.68,88.15,179.27,633.8,536.15
2018-06-22,0.492,1.182,1.182,-20.883,-331.42,15.87,680.53,575.68,88.15,179.27,633.8,536.15
2018-07-01,0.492,1.182,1.182,-19.034,-386.58,20.31,680.53,575.68,88.15,179.27,633.8,536.15
2018-07-07,0.455,1.168,0.947,-11.66,-365.3,31.33,496.84,524.53,81.88,179.87,662.71,567.35
2018-07-15,0.459,1.172,0.952,-10.114,-326.08,32.24,499.3,524.53,82.56,179.87,665.0,567.35
2018-07-22,0.284,0.969,0.643,-13.971,-387.0,27.7,268.42,417.17,48.34,170.11,549.96,567.35
2018-08-01,0.284,0.861,0.654,-12.362,-373.08,30.18,362.36,554.2,48.34,170.11,462.47,537.28
2018-08-07,0.35,0.931,0.726,-15.362,-372.06,24.22,402.62,554.2,59.49,170.11,499.97,537.28
2018-08-15,0.046,0.888,0.725,-7.125,-348.5,48.91,417.53,576.27,7.85,170.19,488.86,550.52
2018-08-22,0.275,1.177,0.682,-6.797,-341.14,50.19,400.7,587.8,47.81,173.78,648.17,550.52
2018-09-01,0.275,1.177,0.682,-6.777,-334.5,49.36,400.7,587.8,47.81,173.78,648.17,550.52
2018-09-07,0.322,0.783,0.138,-8.47,-345.73,40.82,80.52,582.78,51.67,160.29,449.97,574.85
2018-09-15,0.733,1.193,1.193,-8.461,-309.41,36.57,647.37,542.52,104.99,143.22,602.91,505.26
2018-09-22,0.145,0.792,0.792,-7.527,-341.18,45.33,429.47,542.52,22.31,154.09,399.97,505.26
2018-10-01,0.627,1.183,1.118,-8.981,-332.84,37.06,559.12,500.22,93.68,149.36,534.01,451.34
2018-10-07,0.626,1.124,1.115,-14.913,-310.78,20.84,450.32,403.93,75.89,121.19,500.58,445.23
2018-10-15,0.484,1.017,1.115,-20.957,-304.09,14.51,306.22,274.67,32.51,67.18,444.41,437.01
2018-10-22,0.489,0.92,1.115,-17.48,-321.29,18.38,180.13,161.57,19.94,40.74,395.26,429.82
Average,0.515,1.083,0.854,-11.55,-325.57,28.19,447.01,523.43,80.96,157.22,570.92,526.99
